% R,Z,IsoLevel
0.005742419,2.487454403,45
0.022409281,2.487455618,45
0.039076371,2.487458237,45
0.055743687,2.48746226,45
0.072411229,2.487467691,45
0.089079,2.487474532,45
0.105746999,2.487482787,45
0.122415226,2.487492461,45
0.139083683,2.487503559,45
0.155752372,2.487516087,45
0.172421291,2.487530052,45
0.189090444,2.487545461,45
0.205759832,2.487562323,45
0.222429455,2.487580647,45
0.239099316,2.487600444,45
0.255769416,2.487621723,45
0.272439757,2.487644497,45
0.289110342,2.487668778,45
0.305781172,2.487694578,45
0.322452249,2.487721913,45
0.339123576,2.487750796,45
0.355795155,2.487781244,45
0.37246699,2.487813273,45
0.389139082,2.4878469,45
0.405811436,2.487882143,45
0.422484053,2.487919021,45
0.439156937,2.487957554,45
0.455830091,2.487997763,45
0.472503519,2.488039669,45
0.489177225,2.488083294,45
0.505851212,2.488128662,45
0.522525484,2.488175797,45
0.539200045,2.488224724,45
0.5558749,2.488275469,45
0.572550052,2.488328058,45
0.589225506,2.488382521,45
0.605901267,2.488438884,45
0.62257734,2.488497179,45
0.639253729,2.488557435,45
0.65593044,2.488619685,45
0.672607477,2.488683961,45
0.689284847,2.488750296,45
0.705962555,2.488818725,45
0.722640607,2.488889283,45
0.739319008,2.488962008,45
0.755997764,2.489036937,45
0.772676883,2.489114108,45
0.789356369,2.489193561,45
0.806036231,2.489275337,45
0.822716474,2.489359479,45
0.839397105,2.489446028,45
0.856078133,2.48953503,45
0.872759563,2.489626529,45
0.889441404,2.489720572,45
0.906123662,2.489817206,45
0.922806347,2.48991648,45
0.939489466,2.490018444,45
0.956173027,2.49012315,45
0.972857039,2.490230649,45
0.98954151,2.490340996,45
1.00622645,2.490454244,45
1.022911867,2.490570451,45
1.03959777,2.490689673,45
1.05628417,2.49081197,45
1.072971075,2.490937401,45
1.089658496,2.491066028,45
1.106346443,2.491197914,45
1.123034926,2.491333123,45
1.139723955,2.49147172,45
1.156413543,2.491613773,45
1.173103698,2.49175935,45
1.189794434,2.49190852,45
1.206485761,2.492061356,45
1.223177691,2.49221793,45
1.239870237,2.492378317,45
1.25656341,2.492542593,45
1.273257223,2.492710834,45
1.289951688,2.492883121,45
1.30664682,2.493059535,45
1.32334263,2.493240156,45
1.340039133,2.493425071,45
1.356736343,2.493614364,45
1.373434273,2.493808123,45
1.390132938,2.494006437,45
1.406832353,2.494209398,45
1.423532532,2.494417097,45
1.440233491,2.49462963,45
1.456935246,2.494847094,45
1.473637812,2.495069585,45
